FINANCIAL_ITEM_CODE,FINANCIAL_ITEM_NAME_TR,FINANCIAL_ITEM_NAME_EN,SYMBOL,2020/6,2020/9,2020/12,2021/3,2021/6,2021/9,2021/12,2022/3,2022/6,2022/9,2022/12,2023/3,2023/6,2023/9,2023/12,2024/3,2024/6,2024/9,2024/12,2025/3,2025/6,2025/9
3CAE,Finans Sektörü Faaliyetlerinden Diğer Kar (Zarar),Other Profit (Loss) from Financial Operations,TEZOL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3CAF,Finans Sektörü Faaliyetlerinden Brüt Kar (Zarar),Gross Profit (Loss) from Financial Operations,TEZOL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3CB,Diğer Gelir ve Giderler,Other Income (Expenses),TEZOL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3D,BRÜT KAR (ZARAR),GROSS PROFIT (LOSS),TEZOL,16070126,24593724,30868020,5883882,12571104,22501890,27930693,5817735,14319937,26530283,46190616,6137883,26728083,38959993,45309847,7330876,15024668,31727447,28400891,5480739,10727163,15864978
3DA,"Pazarlama, Satış ve Dağıtım Giderleri (-)",Marketing Selling & Distrib. Expenses (-),TEZOL,-3689384,-6077262,-7626806,-2501873,-5075943,-9366385,-11718454,-1088198,-2367162,-3952416,-11492810,-3169873,-5977730,-7796939,-11742983,-1169235,-2649111,-4124597,-7931005,-1425128,-3065757,-4886744
3DB,Genel Yönetim Giderleri (-),General Administrative Expenses (-),TEZOL,-1190644,-1692839,-2288262,-851596,-1535552,-2336340,-2658852,-489309,-975800,-1536165,-4219493,-2023429,-3657658,-5056584,-6399787,-1651980,-3437646,-5334975,-7219847,-1267718,-2603077,-3940738
3DC,Araştırma ve Geliştirme Giderleri (-),Research & Development Expenses (-),TEZOL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3DD,Diğer Faaliyet Gelirleri,Income from Other Operations,TEZOL,2588952,5707357,6689291,6327963,8886928,9720057,21484260,3782264,9104897,13235086,40416066,1849881,11938972,21752849,23411594,2780647,4435593,7530855,8424482,1731176,2246735,4600336
3DE,Diğer Faaliyet Giderleri (-),Expenses from Other Operations (-),TEZOL,-1497700,-3358214,-4441974,-4865220,-6722392,-7854104,-17785271,-4997196,-6459750,-9767641,-31439670,-1533446,-8957198,-15311909,-22577208,-1481375,-1854915,-2826766,-6431381,-464975,-1754548,-3177043
3DEA,Faaliyet Karı Öncesi Diğer Gelir ve Giderler,Other Income (Expenses) Before Operating Profits,TEZOL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
