FINANCIAL_ITEM_CODE,FINANCIAL_ITEM_NAME_TR,FINANCIAL_ITEM_NAME_EN,SYMBOL,2020/12,2021/9,2021/12,2022/3,2022/6,2022/9,2022/12,2023/3,2023/6,2023/9,2023/12,2024/3,2024/6,2024/9,2024/12,2025/3,2025/6,2025/9
2B,Uzun Vadeli Yükümlülükler,LONG TERM LIABILITIES,ASTOR,45644293,0,19381549,0,0,10995916,15797057,8763081,6603366,5322018,5571363,5202527,4284151,3676653,3101739,2367792,2682169,1909020
2BA,Finansal Borçlar,Long-Term Financial Loans,ASTOR,44643171,0,18655879,0,0,9897537,14028809,7927298,5758300,4490687,4168765,4043516,2717637,2310107,1353132,688741,760066,0
2BB,Diğer Finansal Yükümlülükler,Other Short-Term Financial Liabilities,ASTOR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2BBA,Ticari Borçlar,Long-Term Trade Payables,ASTOR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2BBB,Diğer Borçlar,Other Long-Term Loans,ASTOR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2BBBA,Müşteri Söz.Doğan Yük.,None,ASTOR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2BC,Finans Sektörü Faaliyetlerinden Borçlar,Long-Term Loans from Financial Operations,ASTOR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2BD,Devlet Teşvik ve Yardımları,Long-Term Government Promotions and Aids,ASTOR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2BDA,Ertelenmiş Gelirler (Müşteri Söz.Doğan Yük. Dış.Kal.),None,ASTOR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2BE,Uzun vadeli karşılıklar,Long-Term Provisions,ASTOR,1001122,0,725670,0,0,1098379,1768247,835783,845066,831331,1402598,1159010,1472709,1366546,1748607,1679051,1922103,1909020
2BF,Çalışanlara Sağlanan Faydalara İliş.Karş.,Provisions for Retirment Pay,ASTOR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
