FINANCIAL_ITEM_CODE,FINANCIAL_ITEM_NAME_TR,FINANCIAL_ITEM_NAME_EN,SYMBOL,2020/12,2021/6,2021/9,2021/12,2022/3,2022/6,2022/9,2022/12,2023/3,2023/6,2023/9,2023/12,2024/3,2024/6,2024/9,2024/12,2025/3,2025/6,2025/9
2BG,Ertelenmiş Vergi Yükümlülüğü,Deferred Tax Liabilities,ALFAS,0,0,0,0,0,0,0,0,0,0,0,2628255,3227701,4377931,3647219,5996476,4983608,15902727,17080711
2BH,Diğer Uzun Vadeli Yükümlülükler,Other Long-Term Liabilities,ALFAS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,882995
2N,Özkaynaklar,SHAREHOLDERS EQUITY,ALFAS,7791833,0,0,8149912,0,13042233,19001068,88921628,62480309,50340469,65939369,133854663,85091310,109062066,102987085,134854393,110149503,127586176,127921847
2O,Ana Ortaklığa Ait Özkaynaklar,Parent Shareholders Capital,ALFAS,7791833,0,0,8149912,0,13042233,19001068,88921628,62480309,50340469,65939369,133757520,85020415,109013298,102898523,134742709,110031790,127407150,127744295
2OA,Ödenmiş Sermaye,Share Capital,ALFAS,437257,0,0,2995582,0,2396444,2156090,2455691,2397357,1778149,13417925,12478256,11377831,11190410,10765743,10412010,9726778,9243351,8850068
2OC,Karşılıklı İştirak Sermayesi Düzeltmesi (-),Adjustments to Share Capital,ALFAS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2OCA,Hisse Senedi İhraç Primleri,Premium in Excess of Par,ALFAS,0,0,0,0,0,0,0,0,0,0,0,25657529,0,0,20830241,26853167,22012550,22175030,22824830
2OCB,Değer Artış Fonları,Market Value Surpluses,ALFAS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2OCC,Yabancı Para Çevrim Farkları,FX Translation Differences,ALFAS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2OCD,Kardan Ayrılan Kısıtlanmış Yedekler,Income Reserves,ALFAS,81420,0,0,48678,0,346267,311538,835146,301216,1057999,997958,2507496,1822135,2759335,7019536,9049189,7417960,7472714,7817174
2OCE,Geçmiş Yıllar Kar/Zararları,Retained Earnings /(Acc. Losses),ALFAS,2047105,0,0,1480043,0,1979217,1780710,8079210,30011987,14313105,13500850,30773922,59330918,62441558,49400693,63715554,58025155,58453453,58234527
2OCF,Dönem Net Kar/Zararı,Current Year Income /(Losses),ALFAS,5223348,0,0,3624846,0,8322949,14770275,43562620,12675728,20464083,37759738,50873185,-12273909,6401886,7230790,7069481,-569292,909427,-341968
2OD,Diğer Özsermaye Kalemleri,Other Sholders Equity Items,ALFAS,2703,0,0,763,0,-2644,-17544,33988961,17094021,12727133,262898,11467132,24763441,26220109,7651520,14995577,13418638,29153175,30359665
2ODA,Azınlık Payları,Minority Interests,ALFAS,0,0,0,0,0,0,0,0,0,0,0,97142,70895,48767,88562,111684,117713,179025,177552
2ODB,TOPLAM KAYNAKLAR,TOTAL LIABILITIES AND S.HOLDERS EQUITY,ALFAS,24424998,0,0,32996875,0,58226792,86983707,182588097,129907970,133602566,146237583,248449457,165569078,205000749,199773928,257023620,206025569,254414944,283853606
3B,Sürdürülen Faaliyetler,Continuing Operations,ALFAS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3C,Satış Gelirleri,Net Sales,ALFAS,33217090,18454836,27403112,49136865,18131975,46915090,68895436,251555632,128119032,245635316,354662670,468549207,67457358,151167874,218336470,293732610,46964385,94456131,150979420
