FINANCIAL_ITEM_CODE,FINANCIAL_ITEM_NAME_TR,FINANCIAL_ITEM_NAME_EN,SYMBOL,2020/3,2020/6,2020/9,2020/12,2021/3,2021/6,2021/9,2021/12,2022/3,2022/6,2022/9,2022/12,2023/3,2023/6,2023/9,2023/12,2024/3,2024/6,2024/9,2024/12,2025/3,2025/6
2OA,Ödenmiş Sermaye,Share Capital,MAVI,7544937,7243381,6393989,6680883,5953506,5710392,5582888,3718790,3386436,5950010,5353248,5301836,5175893,7678047,7242325,6735139,12282368,12080048,11621619,11239765,10500057,19956395
2OC,Karşılıklı İştirak Sermayesi Düzeltmesi (-),Adjustments to Share Capital,MAVI,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2OCA,Hisse Senedi İhraç Primleri,Premium in Excess of Par,MAVI,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2OCB,Değer Artış Fonları,Market Value Surpluses,MAVI,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2OCC,Yabancı Para Çevrim Farkları,FX Translation Differences,MAVI,18547292,18151265,22152919,19068844,20616128,20379489,23803024,26456901,26943772,29816912,27796907,16128603,30064051,34181240,33591483,16593572,9151702,6320970,4259226,2266531,0,2403548
2OCD,Kardan Ayrılan Kısıtlanmış Yedekler,Income Reserves,MAVI,3004026,2883962,2545775,2660002,2370396,2273600,2222834,1480641,1348314,1184502,1065701,9314382,1030394,764256,720885,8408005,6002115,11252627,11751715,13979710,12432805,17584245
2OCE,Geçmiş Yıllar Kar/Zararları,Retained Earnings /(Acc. Losses),MAVI,52105143,50022610,44156730,46138012,41664229,36473051,35658665,23752415,40725475,32802581,29512616,107280643,81418193,56549850,53340699,149806112,161970684,140960338,147212111,175121521,233450654,193338482
2OCF,Dönem Net Kar/Zararı,Current Year Income /(Losses),MAVI,-7610423,-7972723,3024388,616600,3716790,14936004,31830794,29988841,19699935,41705489,61666765,101735533,26688156,44675874,79364800,85965522,29688099,47224231,70899729,87375053,22135266,27899875
2OD,Diğer Özsermaye Kalemleri,Other Sholders Equity Items,MAVI,-4354630,-5552330,-5125029,-6576614,-4219140,-4607804,-4486031,-1932974,-1252975,1907689,-2637114,33766549,-1298377,4681363,-377197,36431524,24651028,27341913,29622321,36135867,35254205,33218997
2ODA,Azınlık Payları,Minority Interests,MAVI,2828231,2408869,3340372,3258170,3961730,4250624,5812244,5905340,6843250,6985274,6748778,15767884,7693013,7074095,7496099,17392621,10677290,8306052,7220274,6616243,5228249,3745617
2ODB,TOPLAM KAYNAKLAR,TOTAL LIABILITIES AND S.HOLDERS EQUITY,MAVI,397031832,369168259,371436224,364302340,339756618,324484182,358494126,306695424,323670133,353217825,391413371,809494074,493137514,395824597,444025159,669732531,533504279,535794899,541562144,628180638,619496216,574794762
3B,Sürdürülen Faaliyetler,Continuing Operations,MAVI,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3C,Satış Gelirleri,Net Sales,MAVI,63310169,142733593,260140303,341770569,102463912,232768978,393752863,517562302,135067058,276995642,460315398,1266200869,397086269,780877525,1167831571,1568182883,368380736,692459764,838670694,1328419459,269660491,529114660
3CA,Satışların Maliyeti (-),Cost Of Sales,MAVI,-34566925,-74396077,-132520823,-176691011,-51814392,-113409013,-192121786,-251834094,-58757910,-121902816,-210462766,-642794771,-214492926,-409871909,-594063358,-812304737,-175082821,-333592987,-407186927,-660369898,-128913893,-257610701
3CAA,Ticari Faaliyetlerden Diğer Kar (Zarar),Other Profit (Loss) from Trade Operations,MAVI,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3CAB,Ticari Faaliyetlerden Brüt Kar (Zarar),Gross Profit (Loss) from Trade Operations,MAVI,28743244,68337516,127619480,165079559,50649520,119359964,201631077,265728209,76309148,155092826,249852632,623406098,182593343,371005616,573768213,755878146,193297915,358866777,431483767,668049561,140746599,271503959
3CAC,"Faiz, Ücret, Prim, Komisyon ve Diğer Gelirler","Proceeds from Interest, Fee, Premium, Commission and Other",MAVI,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3CAD,"Faiz, Ücret, Prim, Komisyon ve Diğer Giderler (-)","Expenses from Interest, Fee, Premium, Commission and Other",MAVI,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3CAE,Finans Sektörü Faaliyetlerinden Diğer Kar (Zarar),Other Profit (Loss) from Financial Operations,MAVI,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3CAF,Finans Sektörü Faaliyetlerinden Brüt Kar (Zarar),Gross Profit (Loss) from Financial Operations,MAVI,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3CB,Diğer Gelir ve Giderler,Other Income (Expenses),MAVI,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3D,BRÜT KAR (ZARAR),GROSS PROFIT (LOSS),MAVI,28743244,68337516,127619480,165079559,50649520,119359964,201631077,265728209,76309148,155092826,249852632,623406098,182593343,371005616,573768213,755878146,193297915,358866777,431483767,668049561,140746599,271503959
3DA,"Pazarlama, Satış ve Dağıtım Giderleri (-)",Marketing Selling & Distrib. Expenses (-),MAVI,-29643372,-61894700,-96197312,-125242459,-34664466,-73627809,-116099160,-153058228,-35666864,-77684960,-123598387,-370314236,-104919284,-216014871,-320535287,-441549886,-99685205,-206959476,-249342255,-401037888,-81107585,-168499034
