date,open,high,low,close,volume,symbol,adj_close,adj_open,adj_high,adj_low,is_dividend_day,return_1d,return_5d,return_20d,vol_20d,vol_60d,sma_20,sma_50,sma_200,distance_from_ma200,rsi_14,macd,macd_signal,macd_hist,roc_10,atr_14,obv,future_return_10d,y_10d_up,y_10d_triclass,future_return_20d,y_20d_up,y_20d_triclass,future_return_30d,y_30d_up,y_30d_triclass,future_return_60d,y_60d_up,y_60d_triclass,future_return_90d,y_90d_up,y_90d_triclass,future_return_120d,y_120d_up,y_120d_triclass
2023-10-12,391.8775,406.759,372.85422,379.6747,2139496157.0,SDTTR,379.6747,391.8775,406.759,372.85422,0,0.007607585930344829,0.03447339152781481,0.051176637682860626,0.03739286858151858,0.07417776176191639,375.404475,360.10084600000005,,,47.331183811445804,7.854790672601439,9.453556420794735,-1.598765748193296,3.782760581244049,23.490482142857143,25603671978.0,-0.17104932195903488,0,-1,-0.1756443081406266,0,-1,-0.17853836455260252,0,-1,-0.18571556124229494,0,-1,0.059613927396268585,1,1,-0.11263879315635195,0,-1
2023-10-13,385.10742,396.38,374.63342,377.5989,754173194.0,SDTTR,377.5989,385.10742,396.38,374.63342,0,-0.0054673118856746195,0.0500274465071191,0.05437473246140545,0.037349518679365416,0.07353699563554296,376.378125,362.93185,,,40.00001445220367,7.314323707489166,9.025709878133622,-1.711386170644456,1.8666799755584051,22.6291,24849498784.0,-0.18120338803953095,0,-1,-0.18094120507236655,0,-1,-0.18386335341548932,0,-1,-0.19173599287497933,0,-1,0.05034945811547642,1,1,-0.09595155070631822,0,-1
2023-10-16,364.91968,385.30902,351.00882,352.4915,544263140.0,SDTTR,352.4915,364.91968,385.30902,351.00882,0,-0.0664922487856825,-0.10872299302334532,-0.05411149409711091,0.039345950268950866,0.07430100088537797,375.369875,364.9424159999999,,,39.325843494866405,4.804657296560833,8.181499361819064,-3.3768420652582307,-3.7516990623960744,22.996245714285713,24305235644.0,-0.10013971968118374,0,-1,-0.16892776137864307,0,-1,-0.12151441949664021,0,-1,-0.14259804846357993,0,-1,0.13148941180141938,1,1,-0.0027433285625326764,0,0
2023-10-17,358.02112,370.67953,342.90326,359.6086,516385149.0,SDTTR,359.6086,358.02112,370.67953,342.90326,0,0.02019084148128414,-0.09502489502816647,-0.05726851921031595,0.039235960139613786,0.07425655341291681,374.27761,367.20801,,,44.257730863235466,3.3513863786362776,7.215476765182507,-3.8640903865462297,-2.046327492481359,23.64581642857143,24821620793.0,-0.14959820204522367,0,-1,-0.1922559694067384,0,-1,-0.1705893574291606,0,-1,-0.13407855095790255,0,-1,0.14905066230340425,1,1,-0.0727685600399991,0,-1
2023-10-18,370.4581,388.86755,357.9282,358.3236,721283295.0,SDTTR,358.3236,370.4581,388.86755,357.9282,0,-0.003573329447627338,-0.049055474125954346,-0.01947512126457762,0.03811135914957885,0.07406386427479121,373.92176,369.44395000000003,,,47.16419893640473,2.072084247742282,6.186798261694463,-4.114714013952181,0.08284291408189315,24.584867857142854,24100337498.0,-0.16671103996499248,0,-1,-0.10857141421887928,0,-1,-0.13719554056724137,0,-1,-0.1247512025442924,0,-1,0.06744406452714813,1,1,-0.07773950697079401,0,-1
2023-10-19,357.16803,365.2429,348.933,352.4915,413644897.0,SDTTR,352.4915,357.16803,365.2429,348.933,0,-0.016276070010459942,-0.07159602680926591,-0.060094851382080594,0.037737079738813295,0.07419457650137898,372.794895,371.07098600000006,,,43.18520738881185,0.5809297662983113,5.065624562615233,-4.484694796316922,-3.959079314548286,24.563690714285713,23686692601.0,-0.13916619265996477,0,-1,-0.09592798691599647,0,-1,-0.14892330737053228,0,-1,-0.1180005759004118,0,-1,0.06050755833828636,1,1,-0.07934716156276111,0,-1
2023-10-20,345.41406,364.6498,327.97723,331.9312,524843722.0,SDTTR,331.9312,345.41406,364.6498,327.97723,0,-0.05832849870138712,-0.12094235444012158,-0.14424056361892146,0.03866719035494222,0.07416001357686466,369.9975,371.745128,,,38.532748674085894,-2.2341118333093277,3.605677283430321,-5.839789116739649,-7.69653451002007,26.265285,23161848879.0,-0.08763412417995053,0,-1,-0.026511518049523564,0,-1,-0.11710318282824883,0,-1,-0.0753092809594278,0,-1,0.0814177757318384,1,1,0.003800486365849398,1,0
2023-10-23,330.55426,346.65955,317.40054,333.5127,446141718.0,SDTTR,333.5127,330.55426,346.65955,317.40054,0,0.004764541567650271,-0.0538418656903783,-0.1770732707538043,0.03683022296014605,0.06977167278337114,366.40932,371.855838,,,38.8157658287243,-4.288009248006972,2.0269399771428627,-6.314949225149835,-15.67110099259047,27.437339285714284,23607990597.0,-0.06822079039268969,0,-1,-0.05189997262473067,0,-1,-0.1101481292916281,0,-1,-0.10123482554037677,0,-1,0.08074655028129363,1,1,0.03840813258385656,1,1
2023-10-24,335.51346,340.53094,328.76807,336.0828,430197733.0,SDTTR,336.0828,335.51346,340.53094,328.76807,0,0.007706153318899123,-0.06542057114318178,-0.12144701761613708,0.03527176928695464,0.06488599656004383,364.086395,371.644304,,,42.36590711428075,-5.643299709687312,0.4928920397768277,-6.13619174946414,-15.422888326578466,27.21139714285714,24038188330.0,-0.06945669341007643,0,-1,-0.06430349901869425,0,-1,-0.14791146705514246,0,-1,-0.10073678272140085,0,-1,0.04299773746231561,1,1,0.0039314716492484525,1,0
2023-10-25,328.94104,344.4849,302.47452,302.9687,516231679.0,SDTTR,302.9687,328.94104,344.4849,302.47452,0,-0.09852958854187122,-0.15448298688671358,-0.19384539816443835,0.04088435056244448,0.06640874256197717,360.44385,369.317424,,,30.918728652039178,-9.282406484967566,-1.4621676651720512,-7.820238819795515,-19.59602248465466,28.891815714285713,23521956651.0,0.032250526209472996,1,1,0.022450503962950785,1,1,-0.044967021345769465,0,-1,-0.02207257713420563,0,-1,0.18397907110536482,1,1,0.09240063412491106,1,1
