symbol,period,item_code,item_name_tr,item_name_en,value
AKBNK,2020/3,3AG,1.5.2 Gerçeğe Uygun Değ. Sınıflandırılan FV,,914192
AKBNK,2020/3,3AH,1.5.3 Satılmaya Hazır Finansal Varlıklardan,1.5.3 Available-for-Sale Securities,0
AKBNK,2020/3,3AJ,1.5.4 Vadeye Kadar Elde Tutulacak Yatırımlardan,1.5.4 Held to Maturity Securities,0
AKBNK,2020/3,3AK,1.6 Finansal Kiralama Gelirleri,1.6 Financial Lease Income,0
AKBNK,2020/3,3AL,1.7 Diğer Faiz Gelirleri,1.7 Other Interest Income,1151653
AKBNK,2020/3,3B,II. FAİZ GİDERLERİ,II. INTEREST EXPENSE,505992041
AKBNK,2020/3,3BA,2.1 Mevduata Verilen Faizler,2.1 Interst on Deposits,359956161
AKBNK,2020/3,3BB,2.2 Kullanılan Kredilere Verilen Faizler,2.2 Interest on Funds Borrowed,49243223
AKBNK,2020/3,3BC,2.3 Para Piyasası İşlemlerine Verilen Faizler,2.3 Interest on Money Market Transactions,25181984
AKBNK,2020/3,3BD,2.4 İhraç Edilen Menkul Kıymetlere Verilen Faizler,2.4 Interest on Securities Issued,53901841
AKBNK,2020/3,3BE,2.5 Diğer Faiz Giderleri,2.5 Other Interest Expense,13912073
AKBNK,2020/3,3C,III. NET FAİZ GELİRİ/GİDERİ (I - II),III. NET INTEREST INCOME/EXPENSES (I - II),814238132
AKBNK,2020/3,3CA,IV. NET ÜCRET VE KOMİSYON GELİRLERİ/GİDERLERİ,IV. NET FEES AND COMMISSIONS INCOME/EXPENSES,184125470
AKBNK,2020/3,3CAA,4.1 Alınan Ücret ve Komisyonlar,4.1 Fees and Commissions Received,222764066
AKBNK,2020/3,3CAB,4.1.1 Gayri Nakdi Kredilerden,4.1.1 Non-Cash Loans,18418271
AKBNK,2020/3,3CAC,4.1.2 Diğer,4.1.2 Other,204345795
AKBNK,2020/3,3CAD,4.2 Verilen Ücret ve Komisyonlar,4.2 Fees and Commissions Paid,38638596
AKBNK,2020/3,3CAE,4.2.1 Gayri Nakdi Kredilere,4.2.1 Non-Cash Loans,169428
AKBNK,2020/3,3CAF,4.2.2 Diğer,4.2.2 Others,38469168
AKBNK,2020/3,3CB,V. TEMETTÜ GELİRLERİ,V. DIVIDEND INCOME,38432
AKBNK,2020/3,3CC,VI. TİCARİ KAR / ZARAR (Net),VI. NET TRADING INCOME,-70919551
AKBNK,2020/3,3CCA,6.1 Sermaye Piyasası İşlemleri Karı/Zararı,6.1 Profit/Losses on Trading Account Securities,-2934409
AKBNK,2020/3,3CCB,6.2 Türev Finansal İşlemlerden Kar/Zarar,6.2 Profit/Losses on Derivative Financial Trades,65731552
AKBNK,2020/3,3CCC,6.3 Kambiyo İşlemleri Karı/Zararı,6.3 Foreign Exchange Profit/Losses,-133716693
AKBNK,2020/3,3CD,VII. DİĞER FAALİYET GELİRLERİ,VII. OTHER OPERATING INCOME,62443241
AKBNK,2020/3,3CE,VIII. FAALİYET GELİRLERİ/GİDERLERİ TOPLAMI (III+IV+V+VI+VII),VIII. TOTAL OPERATING INCOME/EXPENSES (III+IV+V+VI+VII),989925724
AKBNK,2020/3,3CF,IX. KREDİ VE DİĞER ALACAKLAR DEĞER DÜŞÜŞ KARŞILIĞI (-),IX. PROVISIONS FOR LOAN LOSSES OR OTHER RECEIVABLES,419079527
AKBNK,2020/3,3CG,X. DİĞER FAALİYET GİDERLERİ (-),X. OTHER OPERATING EXPENSES (-),194932398
AKBNK,2020/3,3CH,XI. NET FAALİYET KARI/ZARARI (VIII-IX-X),XI. NET OPERATING INCOME (IX-X-XI),251586301
AKBNK,2020/3,3CI,XII. BİRLEŞME İŞLEMİ SONRASINDA GELİR OLARAK KAYDEDİLEN FAZLALIK TUTARI,XII. SURPLUS WRITTEN AS GAIN AFTER MERGER,0
AKBNK,2020/3,3CJ,XIII. ÖZKAYNAK YÖNTEMİ UYGULANAN ORTAKLIKLARDAN KAR/ZARAR,XIII. PROFIT/LOSSES FROM ASSOCIATES AND SUBSIDIARIES,28535384
AKBNK,2020/3,3CK,XIV. NET PARASAL POZİSYON KARI/ZARARI,XIV. NET MONETORY POSITION GAIN/LOSS,0
AKBNK,2020/3,3CL,XV. SÜRDÜRÜLEN FAALİYETLER VERGİ ÖNCESİ K/Z (XI+XII+XIII+XIV),XV. PROFIT/LOSS BEFORE TAXES FROM CONTINUING OPERATIONS (XI+XII+XIII+XIV),280121684
AKBNK,2020/3,3CM,XVI. SÜRDÜRÜLEN FAALİYETLER VERGİ KARŞILIĞI (±),XVI. PROVISION FOR TAXES ON INCOME FROM CONTINUING OPERATIONS (±),65875794
AKBNK,2020/3,3CMA,16.1 Cari Vergi Karşılığı,16.1 Current Tax Provision,35002434
AKBNK,2020/3,3CMB,16.2 Ertelenmiş Vergi Karşılığı,16.2 Deferred Tax Provision,30873361
AKBNK,2020/3,3CN,XVII. SÜRDÜRÜLEN FAALİYETLER DÖNEM NET K/Z (XV±XVI),XVII. NET PROFIT/LOSS FROM CONTINUING OPERATIONS (XV±XVI),214245890
AKBNK,2020/3,3CO,XVIII. DURDURULAN FAALİYETLERDEN GELİRLER,XVIII. INCOME FROM TERMINATED OPERATIONS,0
AKBNK,2020/3,3COA,18.1 Satış Amaçlı Elde Tutulan Duran Varlık Gelirleri,18.1 Property And Equipment Income Held For Sale,0
